id,name,price,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,image
1,네잎클로버,0,감성,연인,친구,마음,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_clover.png?alt=media&token=db407bfa-0729-48a8-87c6-92971eeb290e
2,학천마리,0,감성,연인,마음,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_hak.png?alt=media&token=bc14cc54-efa5-4d57-89a3-3563b0aeaf3c
3,손편지,0,마음,,,,,,,,
4,머니건,10000,쓸없선,,,,,,,,
5,예쁜 쓰레기,20000,쓸없선,,,,,,,,
6,관종모자,10000,쓸없선,,,,,,,,
7,전남친사진,0,쓸없선,마음,,,,,,,
8,슈프림벽돌,60000,쓸없선,,,,,,,,
9,현금,100000,실용,,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_money.png?alt=media&token=ee4da888-399e-44ba-86ee-4d4e81d77a09
10,돈다발,500000,실용,,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_money.png?alt=media&token=ee4da888-399e-44ba-86ee-4d4e81d77a09
11,빌딩,0,,,,,,,,,
12,생일빵,0,,,,,,,,,
13,양키캔들 세트,0,,,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_candle.png?alt=media&token=6196ab1e-1ae8-4a44-9826-693a9f694f3d
14,양키캔들,35000,실용,향,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_candle.png?alt=media&token=6196ab1e-1ae8-4a44-9826-693a9f694f3d
15,우드윅 캔들,45000,실용,향,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_candle.png?alt=media&token=6196ab1e-1ae8-4a44-9826-693a9f694f3d
16,캔들 워머,37000,실용,인테리어,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_candle.png?alt=media&token=6196ab1e-1ae8-4a44-9826-693a9f694f3d
17,직접 만든 향초,30000,수제,,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_candle.png?alt=media&token=6196ab1e-1ae8-4a44-9826-693a9f694f3d
18,디퓨저,20000,실용,향,,,,,,,
19,조말론 디퓨저,80000,실용,향,,,,,,,
20,차량용방향제,5000,향,,,,,,,,
21,무드등,30000,감성,인테리어,,,,,,,
22,커스텀 무드등,50000,감성,커스텀,,,,,,,
23,LP판,50000,감성,음악,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_lp.png?alt=media&token=8a802135-57ce-4aff-9c3c-ba59702e3401
24,폴라로이드카메라,180000,감성,기록,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_camera.png?alt=media&token=3a16b16f-e43f-4c92-84d7-341b73dd7242
25,폴라로이드 카메라 미니,90000,감성,기록,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_camera.png?alt=media&token=3a16b16f-e43f-4c92-84d7-341b73dd7242
26,캐논 EOS M50,650000,기록,,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_camera.png?alt=media&token=3a16b16f-e43f-4c92-84d7-341b73dd7242
27,캐논 EOS 600D,220000,기록,,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_camera.png?alt=media&token=3a16b16f-e43f-4c92-84d7-341b73dd7242
28,폰케이스,20000,핸드폰,,,,,,,,
29,커스텀 폰케이스,15000,핸드폰,커스텀,,,,,,,
30,커스텀 드로잉 폰케이스,25000,핸드폰,커스텀,,,,,,,
31,그립톡,12000,핸드폰,,,,,,,,
32,커스텀 그립톡,10000,핸드폰,커스텀,,,,,,,
33,정관장,50000,건강,실용,식품,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_vitamin.png?alt=media&token=7de4a8cf-eb57-438c-b3e9-9c7186aedbc9
34,영양제,40000,건강,식품,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_vitamin.png?alt=media&token=7de4a8cf-eb57-438c-b3e9-9c7186aedbc9
35,종합비타민,30000,건강,식품,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_vitamin.png?alt=media&token=7de4a8cf-eb57-438c-b3e9-9c7186aedbc9
36,마사지기,50000,건강,실용,,,,,,,
37,손풍기,15000,여름,실용,,,,,,,
38,수영복,40000,여름,,,,,,,,
39,다이어리,20000,겨울,기록,,,,,,,
40,달력,10000,겨울,,,,,,,,
41,직접 만든 달력,10000,수제,,,,,,,,
42,롱패딩,300000,겨울,실용,,,,,,,
43,경량 롱패딩,150000,겨울,실용,,,,,,,
44,목도리/장갑,20000,겨울,실용,,,,,,,
45,손수 짠 목도리,30000,수제,,,,,,,,
46,내복,20000,겨울,실용,집순이,,,,,,
47,베드트레이,25000,집순이,실용,,,,,,,
48,미니 빔 프로젝터,60000,집순이,실용,,,,,,,
49,스마트폰 거치대,10000,집순이,실용,,,,,,,
50,잠옷,30000,집순이,,,,,,,,
51,속옷,25000,연인,,,,,,,,
52,커플속옷,40000,연인,,,,,,,,
53,커플잠옷,60000,연인,,,,,,,,
54,커플링,100000,연인,,,,,,,,
55,아이스크림쿠폰,8000,원격,식품,,,,,,,https://firebasestorage.googleapis.com/v0/b/yetda-d4506.appspot.com/o/present_giftycon.png?alt=media&token=aea39a99-4848-4395-a9e4-506e6b073712
