id,tag,question
1,감성,감성적인 사람인가요?
2,건강,뭣이 중헌디..건강이 중요하지!! 라고 생각하나요?
3,음악,음악을 좋아하나요?
4,전자기기,새 기계랑 바로 친구해버리는 사람인가요?
5,연인,연인인가요?
6,쓸없선,재치만! 있는 선물을 준비해 볼까요?
7,문구,문구류를 많이 사용하나요?
8,마음,당신의 소중한 마음을 기쁘게 받아줄까요?
9,인테리어,주변을 꾸미는 것을 좋아하나요?
10,집순이,이불 밖은 위험하다고 생각하나요?
11,실용,실용적인 물건을 좋아하나요?
12,식품,먹고 마시는 선물을 줘도 좋아할까요?
13,앱등이,한 입 베어문 사과와 스티븐 잡스를 좋아하나요?
14,인싸,외향적인가요?
15,아싸,내향적인가요?
16,디저트,단 음식을 잘 드시나요?
17,원격,직접 만날 수 없는 상황인가요?
18,게임,게임을 많이 하는편인가요?
19,뷰티,자신을 꾸미는데 많은 신경을 쓰나요?
20,요리,직접 요리하는 것을 즐기나요?
21,운동,운동이 취미인가요?
22,여행,여행을 자주 다니나요?
23,패션,패숑파숑! 패셔너블한 사람인가요?
24,액세서리,패션의 완성에 액세서리는 빠질 수 없다고 생각하나요?
25,덕질,어떤 분야에 전문가 이상의 열정과 흥미를 가지고 있나요?
26,가방,호주머니에 코끼리 빼고 다 담을 수 있다고 생각하나요?
27,향,취'향'이 확고한 사람인가요?
28,피부,피부관리에 신경쓰는 사람인가요?
29,대면,직접 얼굴보고 만나고 싶은 사람인가요?
30,수제,손수 만든 것을 좋아하나요?
31,커스텀,세상에 단 하나뿐인 것에 웃음이 활짝 필까요?
32,기록,무언가 남기고 기록하는 것을 좋아하나요?
33,컴퓨터,컴퓨터와 사이가 좋습니까?
34,핸드폰,핸드폰이 손에서 떨어지지 않습니까?
35,관종,인플루언서의 기질이 다분합니까?
