id,name,price,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8
11,꽃다발,0,감성,,,,,,,
12,네잎클로버,0,감성,연인,친구,정성,,,,
13,무드등,30000,감성,인테리어,,,,,,
14,앨범,0,감성,,,,,,,
15,폴라로이드카메라,150000,감성,,,,,,,
16,학천마리,0,감성,연인,정성,,,,,
17,향초,30000,감성,,,,,,,
18,LP판,50000,감성,음악,,,,,,
19,영양제,40000,건강,식품,,,,,,
20,정관장,50000,건강,실용,30+,식품,,,,
21,종합비타민,30000,건강,식품,,,,,,
22,닌텐도,360000,게임,인싸,,,,,,
23,보드게임,0,게임,인싸,,,,,,
24,스팀게임,0,게임,,,,,,,
25,플스,0,게임,아싸,,,,,,
26,다이어리,0,겨울,,,,,,,
27,달력,0,겨울,,,,,,,
28,롱패딩,300000,겨울,실용,,,,,,
29,목도리/장갑(겨울),20000,겨울,실용,,,,,,
30,언더아머,0,남성,운동,,,,,,
31,구찌지우개,150000,문구,,,,,,,
32,만년필,0,문구,,,,,,,
33,에르메스 연필,75000,문구,,,,,,,
34,귀걸이,20000,뷰티,여성,액세서리,,,,,
35,립스틱,30000,뷰티,여성,,,,,,
36,신발,100000,뷰티,실용,,,,,,
37,향수,60000,뷰티,,,,,,,
38,소주,4000,성인,식품,,,,,,
39,와인,0,성인,식품,,,,,,
40,마카롱,20000,식품,디저트,,,,,,
41,차(마시는),30000,식품,,,,,,,
42,초콜릿,0,식품,디저트,,,,,,
43,케이크,20000,식품,디저트,,,,,,
44,내복,20000,실용,겨울,집순이,,,,,
45,넥타이,0,실용,남성,,,,,,
46,다기세트,0,실용,요리,,,,,,
47,면도기,100000,실용,남성,뷰티,전자기기,,,,
48,블루투스이어폰,100000,실용,전자기기,,,,,,
49,셔츠,0,실용,,,,,,,
50,스킨케어,0,실용,,,,,,,
51,시계,0,실용,액세서리,,,,,,
52,식기세트,0,실용,요리,,,,,,
53,안마기,100000,실용,건강,전자기기,,,,,
54,와플기계,0,실용,운동,,,,,,
55,접이식 전기포트,0,실용,,,,,,,
56,지갑,0,실용,,,,,,,
57,커피머신,200000,실용,전자기기,,,,,,
58,텀블러,20000,실용,,,,,,,
59,핸드크림,10000,실용,,,,,,,
60,헤드셋,0,실용,음악,집순이,,,,,
61,현금,0,실용,원격,,,,,,
62,손풍기,15000,실용 ,여름,,,,,,
63,관종모자,10000,쓸없선,,,,,,,
64,머니건,0,쓸없선,,,,,,,
65,슈프림벽돌,60000,쓸없선,,,,,,,
66,예쁜 쓰레기,0,쓸없선,,,,,,,
67,전남친사진,0,쓸없선,정성,,,,,,
68,맥북,0,앱등이,,,,,,,
69,애플워치,0,앱등이,,,,,,,
70,에어팟,0,앱등이,,,,,,,
71,에어팟프로,0,앱등이,,,,,,,
72,수영복,0,여름,,,,,,,
73,레깅스,40000,여성,,,,,,,
74,여권케이스,30000,여행,,,,,,,
75,캐리어 네임택,8000,여행,실용,,,,,,
76,속옷,0,연인,,,,,,,
77,커플링,0,연인,,,,,,,
78,커플속옷,0,연인,,,,,,,
79,커플잠옷,0,연인,,,,,,,
80,요가매트,0,운동,실용,,,,,,
81,기프티콘,0,원격,실용,,,,,,
82,아이스크림쿠폰,0,원격,식품,,,,,,
83,카카오톡 이모티콘,3000,원격,,,,,,,
84,스피커,0,음악,,,,,,,
85,콘서트 티켓,0,음악,,,,,,,
86,디퓨저,20000,인테리어,집순이,,,,,,
87,풍경,0,인테리어,,,,,,,
88,화분,0,인테리어,,,,,,,
89,노트북,0,전자기기,실용,,,,,,
90,마사지기,0,전자기기,실용,건강,,,,,
91,아이패드,0,전자기기,실용,앱등이,,,,,
92,에어프라이어,50000,전자기기,실용,요리,,,,,
93,전기마스크팩,0,전자기기,40+,,,,,,
94,컴퓨터모니터,300000,전자기기,실용,,,,,,
95,태블릿,150000,전자기기,실용,,,,,,
96,텔레비전,0,전자기기,,,,,,,
97,돈다발,0,정성,실용,,,,,,
98,손편지,0,정성,,,,,,,
99,주문케이크,50000,정성,,,,,,,
100,잠옷,30000,집순이,,,,,,,
101,차량용방향제,0,차,,,,,,,
102,로이드 시계,40000,패션,액세서리,,,,,,
103,맨투맨,70000,패션,,,,,,,
104,명품지갑,500000,패션,,,,,,,
105,목걸이,0,패션,액세서리,,,,,,
106,선글라스,0,패션,,,,,,,
107,스마트워치,0,패션,액세서리,실용,,,,,
108,오메가 시계,0,패션,액세서리,,,,,,
109,팔찌,0,패션,액세서리,,,,,,
110,러그,0,,,,,,,,
111,빌딩,100000000,,,,,,,,
112,생일빵,0,,,,,,,,
113,샤워 가운,25000,,,,,,,,
114,샴페인,0,,,,,,,,
115,인형/피규어,100000,,,,,,,,
116,책,15000,,,,,,,,
117,폰케이스,30000,,,,,,,,
118,후드,70000,,,,,,,,
